CountryName,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bulgaria,Bulgaria,33.18464428,32.37544973,32.27618993,32.34920957,32.95162574,33.17378249,33.12040838,33.20903295,33.29925638,33.51329091,33.04745123,33.72754807,34.15853002,34.58875206,34.65888,34.98718603,35.00448728,35.27667051,35.41995811,35.57726253,35.93734551,35.72975681,35.65676648,35.98436979,36.3230192,36.43512449,36.6112673,36.78322744,36.95816349,37.13104045,37.28718015,37.45892307,37.63105522,37.80717586,37.95897429,38.13413019
Belarus,Belarus,33.16435261,33.21830221,32.8963577,33.26921836,33.65117431,33.53492327,33.886255,34.2039996,34.28988383,34.40884688,34.57017647,35.12199191,35.58733328,35.28207232,35.46145233,36.1777314,36.14335,36.43971868,36.63812676,37.01549367,37.25799274,37.38316423,37.52086357,37.76181226,37.68610054,38.13618172,38.33640506,38.56159397,38.78336262,39.00787158,39.23335132,39.43552376,39.65968437,39.88051854,40.08299689,40.30890737
Germany,Germany,33.11674281,33.2330419,33.33260073,33.96822671,33.96524716,34.17337801,34.25393664,34.4859321,34.84088325,35.36240528,36.10397044,36.16834134,36.39871095,36.82106908,37.00552248,37.1558125,37.28351562,37.87929872,38.11731958,38.05824057,38.26573305,38.14004715,38.1578102,38.62294699,39.39811298,39.57346015,39.82896701,40.08905144,40.36313808,40.61809061,40.87783905,41.13378439,41.39402849,41.62821813,41.88723313,42.14420725
France,France,33.05088466,33.06110139,33.21216774,33.26760986,33.48776854,33.47686711,33.31200256,33.63981032,33.72112208,34.02361339,34.24040607,34.53147085,35.22593144,35.7299351,35.90480779,35.8727341,36.09486306,36.35014555,36.52766689,37.07659011,37.21017926,37.16660713,37.22045078,37.6973797,38.0155549,38.08264749,38.31007728,38.55514714,38.76073293,38.9882062,39.21560351,39.42729774,39.65547807,39.88196802,40.1178313,40.35899702
Iceland,Iceland,33.00213483,33.30377277,33.1834886,33.26176988,33.22984281,33.20950276,33.76350189,33.99528584,34.40360881,34.82571986,35.42081056,35.59576144,36.2123769,36.46739918,35.66127275,36.07623787,36.22104105,36.53588127,37.23989596,36.58017641,37.16873105,36.96267974,36.87158339,36.7834553,37.74076752,38.01567812,38.21981534,38.42362378,38.62942438,38.82881809,39.03254106,39.25935228,39.42717213,39.66740435,39.86996441,40.07330098
Netherlands,Netherlands,32.9705527,33.02690637,33.16943221,33.54823458,33.69824806,33.81226311,33.96419658,34.38542811,34.54988388,35.31536179,36.08800611,36.00196426,36.16019014,36.06692848,36.30535375,36.80558578,36.97519172,36.87873147,37.26551976,36.8109442,36.90066105,37.1676849,36.79912631,37.25843079,37.94555658,38.27072802,38.49244228,38.68487396,38.88580368,39.12577121,39.32643426,39.5065829,39.73252751,39.94680608,40.12146796,40.34029508
Ireland,Ireland,32.70038627,32.69498903,32.86799353,32.95070345,33.28388518,33.64331828,33.89136265,34.38013155,34.56157608,34.87505274,35.5669818,35.33620508,36.41859505,36.43746372,36.9450148,37.04277644,38.07556651,38.24317535,38.22343375,37.81770932,37.70792679,37.69781263,37.19015854,38.12311435,39.12943404,39.39218175,39.66909375,39.96946892,40.22253061,40.50106472,40.76244782,41.04083254,41.31815575,41.63386849,41.89507861,42.14852012
Estonia,Estonia,32.4440069,32.53962984,32.9397863,32.9755484,33.21016596,33.16130388,33.78235454,34.07244891,34.25212505,34.46554428,35.17911593,35.22385444,35.68322147,35.65789932,35.87535675,36.31498305,36.41181792,36.40625242,36.3963952,36.33442162,36.35995592,36.52226653,36.75460316,37.0593644,37.52119887,37.81615907,38.0341343,38.23149988,38.44568501,38.64192529,38.86158771,39.05489161,39.2959111,39.49414949,39.70747477,39.90596266
Lithuania,Lithuania,32.37928871,32.36458199,32.28714793,32.60245707,32.84380475,33.14581126,33.68485346,33.82514268,34.10359794,34.09360145,34.39086181,34.42416302,34.82019301,34.94841212,35.24222526,35.76198496,36.24234346,36.62168501,36.50770845,36.27837209,36.41440352,36.44488727,36.51829893,37.03224183,37.52296627,37.69694723,37.89603853,38.1435667,38.36471964,38.58492379,38.78331685,39.00698592,39.25044155,39.47140008,39.67484982,39.89438607
Korea,Korea,32.29923389,32.21514163,32.17641219,32.30520445,32.46242794,32.69256892,32.4313464,32.53830373,32.46263509,33.62310176,33.92587865,33.84784409,33.87149841,33.87128269,34.02187959,34.25259012,34.09935223,34.17435205,34.41811051,34.70970705,34.78931296,35.23542858,35.51806049,35.11707272,35.41997811,35.59951987,35.76587045,35.9149912,36.05324443,36.17843238,36.31487912,36.49272235,36.63020001,36.77925243,36.9173676,37.06633757
Italy,Italy,32.15049834,31.91991184,32.5071005,32.7010415,32.99637428,32.60257171,32.873194,32.80804565,33.69299564,34.13100575,34.71328388,34.57176776,35.9515655,36.27844845,36.22444386,37.23123741,36.93457466,37.06881008,37.41655778,37.1801914,37.41097447,37.45784815,37.25871452,38.21117984,39.07161667,39.10438559,39.41329837,39.72133724,40.02147878,40.3308336,40.62668057,40.9109109,41.17424659,41.48773613,41.78307766,42.09282865
Canada,Canada,31.60708173,31.96446233,32.09025326,32.4122683,32.36221705,32.15813712,32.11550992,32.41189606,32.6819433,33.00356924,33.20611862,33.27237258,33.73943659,33.91915701,34.13358756,34.50540581,34.35871128,34.64967704,35.01218296,35.27214328,35.52188642,35.66577867,35.6973578,35.56898264,36.02652459,36.18994833,36.37463908,36.583194,36.78182679,36.96602041,37.15070701,37.38038068,37.56335654,37.73847159,37.92715326,38.1090351
